CID,CNAME,PERIOD,CREDIT,TEACHER
HIST-09,电路基础,32,2.0,段哲民
HIST-10,经济数学—微积分（二）,32,2.0,韩华
HIST-11,大学物理典型问题解析—电磁学,48,2.5,胡海云
HIST-12,组织与人力资源管理,32,2.0,张广科
HIST-13,大学生创新与创业实践,64,4.0,张祖涛
HIST-14,民族声乐进阶密码——石春轩子教学示范课堂,48,2.5,石春轩子
HIST-15,测量学,32,2.0,何彬彬
HIST-16,侵权责任法,32,2.0,王竹
HIST-17,大学物理—光学,32,2.0,李雪春
HIST-18,运筹学,16,1.0,刘华丽
HIST-19,广播节目播音与主持,4,0.5,荣斌
HIST-20,高速铁路工程,48,2.5,易思蓉
STAT-01,信号与系统,48,2.5,李辉
STAT-02,中国哲学,32,2.0,章伟文
STAT-03,数字营销：走进智慧的品牌,64,4.0,谷虹
STAT-04,大学物理-相对论和量子物理,48,2.5,刘建强
STAT-05,大学生科技创新课程之交通科技大赛,64,4.0,张祖涛
STAT-06,创业法学,48,2.5,邓辉
STAT-07,英语有效表达：语言、修辞与逻辑,32,2.0,廖敏
STAT-08,中国现当代通俗小说与网络小说,48,2.5,汤哲声
STAT-09,波谱分析,16,1.0,白银娟
STAT-10,灭火战术,32,2.0,李驰原
STAT-11,嵌入式系统与实验,48,2.5,李晓潮
STAT-12,激光加工创新训练,48,2.5,刘彬彬
STAT-13,金属工艺学,64,4.0,陈云
STAT-14,财政学,64,4.0,周克清
STAT-15,电子技术应用实验1（数字电路基础实验）,48,2.5,陈瑜
STAT-16,诺贝尔生理学或医学奖史话,64,4.0,张铭
STAT-17,分析化学（三）：波谱分析,32,2.0,宦双燕
STAT-18,城市总体规划,64,4.0,彭震伟
STAT-19,当代青年心理学（三）青年自我意识篇,64,4.0,宁维卫
STAT-20,形势与政策,64,4.0,王刚
PHIL-01,外国民商案例选读,4,0.5,隋军
PHIL-02,Python科学计算三维可视化,32,2.0,黄天羽
PHIL-03,电气与电子测量技术,32,2.0,罗利文
PHIL-04,大学生职业发展与就业指导,16,1.0,阮娟
PHIL-05,教师如何做研究,32,2.0,汪琼
PHIL-06,西方文论原典导读,64,4.0,窦可阳
PHIL-07,海上货物运输,32,2.0,田佰军
PHIL-08,先秦诸子思想,64,4.0,何善蒙
PHIL-09,数字电子技术,4,0.5,覃爱娜
PHIL-10,迷人的材料世界,32,2.0,卢艳丽
PHIL-11,奇妙的昆虫世界,16,1.0,吴梅香
PHIL-12,交替传译,16,1.0,余怿
PHIL-13,城市轨道交通运营管理,48,2.5,张星臣
PHIL-14,中学语文名篇选讲,32,2.0,孙绍振
PHIL-15,生物医学工程概论,32,2.0,卢婷利
PHIL-16,电子线路仿真设计与实验实例,16,1.0,王连英
PHIL-17,职场沟通英语,16,1.0,刘畅
PHIL-18,英国小说,64,4.0,王守仁
PHIL-19,土木工程材料（建筑材料）,64,4.0,王宝民
PHIL-20,过程设备设计,32,2.0,胡兆吉
SOC-01,法学方法论,16,1.0,中国政法大学法学院雷磊
SOC-02,结构化学,16,1.0,王军
SOC-03,求职OMG-大学生就业指导与技能开发,16,1.0,辛远征
SOC-04,计算机硬件技术基础,32,2.0,柳秀梅
SOC-05,校本课程开发,64,4.0,孙芙蓉
SOC-06,化工原理（下）,16,1.0,丁忠伟
SOC-07,电工技术与电子技术（一）（电工学 上）,32,2.0,王香婷
SOC-08,职业生涯与发展规划,16,1.0,汪立夏
SOC-09,美在民间,32,2.0,胡燕
SOC-10,史学名家的治史历程与方法,32,2.0,瞿林东
SOC-11,女性学：女性精神在现代社会中的挑战,48,2.5,吴敏
SOC-12,电工学,64,4.0,顾榕
SOC-13,应用光学,64,4.0,黄一帆
SOC-14,现代信息技术与中学地理教学,32,2.0,陈实
SOC-15,普通话实训与测试,48,2.5,朱姝
SOC-16,文采风流：近现代闽籍文人与作家,32,2.0,吕若涵
SOC-17,生活中的纠纷与解决,16,1.0,赵旭光
SOC-18,土木工程概论,32,2.0,熊峰
SOC-19,轮机模拟训练,64,4.0,曾鸿
SOC-20,食品化学与营养,48,2.5,倪莉
ART-01,大学物理典型问题解析—力学与热学,16,1.0,刘兆龙
ART-02,食品化学,48,2.5,汪东风
ART-03,信息检索,32,2.0,黄如花
ART-04,资源与环境经济学,32,2.0,石晓平
ART-05,呼吸系统疾病,4,0.5,杨艳平
ART-06,结构力学,48,2.5,范小春
ART-07,形势与政策,48,2.5,胡宝国
ART-08,有机化学（1）,32,2.0,唐玉海
ART-09,教育哲学,32,2.0,刘铁芳
ART-10,工科数学分析（二）,64,4.0,杨小远
ART-11,大学英语综合课程（三）,64,4.0,梁晓波
ART-12,英语演讲,32,2.0,蒋联江
ART-13,课堂管理的方法与艺术,48,2.5,王浪
ART-14,大学生瑜伽,64,4.0,亓昕
ART-15,物理化学（下）,16,1.0,白守礼
ART-16,翻转课堂教学法,16,1.0,汪琼
ART-17,教育研究方法,64,4.0,陈时见
ART-18,诺奖作家英文作品赏析,48,2.5,黄芙蓉
ART-19,儿童发展,32,2.0,但菲
ART-20,管理信息系统,32,2.0,裘江南
MUS-01,台湾历史与文化,32,2.0,谢必震
MUS-02,西方现代艺术赏析,48,2.5,铁娆娆
MUS-03,高等代数（下）,32,2.0,杜妮
MUS-04,循环经济与可持续发展型企业,32,2.0,毛建素
MUS-05,环境与健康,64,4.0,龚胜生
MUS-06,化学实验安全知识,32,2.0,冯红艳
MUS-07,大学物理-力学和热学,64,4.0,刘建强
MUS-08,生活药学,48,2.5,林清强
MUS-09,人力资源管理——基于创新创业视角,32,2.0,张向前
MUS-10,数字电子技术基础,64,4.0,侯建军
MUS-11,电磁场与电磁波,32,2.0,丁君
MUS-12,工程材料与机械制造基础,32,2.0,张景德
MUS-13,遗传学,64,4.0,乔守怡
MUS-14,市场营销学,32,2.0,陈章旺
MUS-15,消防燃烧学,32,2.0,郭子东
MUS-16,形势与政策,4,0.5,甘玲
MUS-17,行政职业能力提升,32,2.0,李伟权
MUS-18,概率论与数理统计,4,0.5,高晴
MUS-19,制胜：一部孙子傲商海,48,2.5,刘爱军
MUS-20,航海英语听力与会话,64,4.0,王海华
SE-01,客户关系管理,32,2.0,钱丽萍
SE-02,科技英语语法,16,1.0,马刚
SE-03,软件工程专业导论,32,2.0,徐晓飞
SE-04,材料力学,48,2.5,刘军
SE-05,通信网络基础,48,2.5,盛敏
SE-06,大学物理典型问题解析—近代物理,48,2.5,缪劲松
SE-07,行政法学,32,2.0,江国华
SE-08,数字图像处理,32,2.0,贾永红
SE-09,大学物理实验,32,2.0,欧阳建明
SE-10,摄影基础,64,4.0,张秋雯
SE-11,军事理论,64,4.0,李彦涛
SE-12,微积分（四）,16,1.0,尹逊波
SE-13,新时代中国特色社会主义理论与实践,32,2.0,程京武
SE-14,酒店管理原理,16,1.0,魏卫
SE-15,Python语言程序设计,64,4.0,嵩天
SE-16,Web前端开发,16,1.0,孙俏
SE-17,视觉保健康复技术,64,4.0,刘宜群
SE-18,高级财务会计,64,4.0,彭晓洁
SE-19,中华诗词经典吟唱,48,2.5,刘冬颖
SE-20,水利工程施工,4,0.5,杜志达
CE-01,中国古典诗文朗诵与吟诵,48,2.5,李昌集
CE-02,管理心理学（上）,16,1.0,祝小宁
CE-03,美国文化,64,4.0,周毅
CE-04,数字信号处理,48,2.5,朱学勇
CE-05,法理学,64,4.0,付子堂
CE-06,通用英语（一）,48,2.5,赵雯
CE-07,生活中的货币时间价值,16,1.0,程静
CE-08,德语语言学导论,48,2.5,王京平
CE-09,化妆品赏析与应用,64,4.0,李利
CE-10,班级管理,64,4.0,李伟胜
CE-11,交通管理与控制,64,4.0,王昊
CE-12,海商法,16,1.0,郭萍
CE-13,创业之路——带你玩转商业模式,64,4.0,黄明睿
CE-14,市场营销学,64,4.0,张云起
CE-15,画法几何与技术制图基础,48,2.5,吴红丹
CE-16,三维机械设计【3D-CAD】,64,4.0,刘宏新
CE-17,人体解剖学,4,0.5,吕捷
CE-18,数据库系统概论（新技术篇）,16,1.0,王珊
CE-19,数据库系统概论（高级篇）,32,2.0,王珊
CE-20,数据库系统概论（基础篇）,16,1.0,王珊
BME-01,民事诉讼法学,64,4.0,段文波
BME-02,行政管理学,16,1.0,梁忠民
BME-03,中药与美容,48,2.5,邓雪阳
BME-04,中学化学教学设计与实践,64,4.0,王磊
BME-05,经济法,32,2.0,王先林
BME-06,化工原理（下）,64,4.0,贾绍义
BME-07,化工原理（上）,48,2.5,贾绍义
BME-08,电子商务概论,16,1.0,杨兴凯
BME-09,数字信号处理,48,2.5,王俊
BME-10,系统设计创新与机器人实践,48,2.5,朱爱斌
BME-11,电路,16,1.0,黄锦安
BME-12,计算机控制系统,32,2.0,关守平
BME-13,隋唐五代史专题,48,2.5,宁欣
BME-14,概率论与数理统计,48,2.5,吴翊
BME-15,多元统计分析及R语言建模,48,2.5,王斌会
BME-16,审计学基础,4,0.5,王会金
BME-17,中国税制,32,2.0,薛钢
BME-18,速成汉语语法课堂,64,4.0,种一凡
BME-19,机械基础实景教学（机械原理）,16,1.0,张锋
BME-20,心理健康与创新能力,32,2.0,李媛
ENV-01,汇编语言程序设计,64,4.0,邢建川
ENV-02,动物营养学,32,2.0,姚军虎
ENV-03,刑事诉讼法,64,4.0,孙长永
ENV-04,电气控制实践训练,64,4.0,李继芳
ENV-05,数字电路01密码的奥秘,48,2.5,李政颖
ENV-06,脑洞大开背后的创新方法,32,2.0,冯林
ENV-07,脑洞大开背后的创新思维,32,2.0,冯林
ENV-08,国际贸易学,64,4.0,宋伟良
ENV-09,宏观经济学,32,2.0,文建东
ENV-10,微观经济学,48,2.5,文建东
ENV-11,高等数学（三）,48,2.5,张弢
ENV-12,数学建模,16,1.0,谭忠
ENV-13,偏微分方程,64,4.0,谭忠
ENV-14,结构生物化学,32,2.0,杨荣武
ENV-15,现代密码学,16,1.0,聂旭云
ENV-16,设计的力量,48,2.5,何人可
ENV-17,管理学原理,48,2.5,罗玲
ENV-18,体育舞蹈,32,2.0,姜桂萍
ENV-19,锻炼心理学,64,4.0,杨剑
ENV-20,运动与健康,64,4.0,代方梅
LAW-01,高速铁路牵引供电系统,16,1.0,陈维荣
LAW-02,国际私法,64,4.0,戴霞
LAW-03,民事诉讼法,32,2.0,刘敏
LAW-04,内部控制与风险管理,16,1.0,王清刚
LAW-05,中医内科学,64,4.0,薛博瑜
LAW-06,电磁场与电磁波,48,2.5,王慧
LAW-07,国际法,32,2.0,何志鹏
LAW-08,行政管理学,48,2.5,李明强
LAW-09,时尚与品牌,64,4.0,任力
LAW-10,天气学,48,2.5,舒守娟
LAW-11,模拟电子电路与技术基础,48,2.5,孙肖子
LAW-12,信号与系统,64,4.0,尹霄丽
LAW-13,模拟电子技术基础,64,4.0,王淑娟
LAW-14,市场营销英语,32,2.0,刘亮星
LAW-15,地理信息系统概论,64,4.0,张新长
LAW-16,植物学,48,2.5,强胜
LAW-17,信息组织原理与利用,32,2.0,Si LI
LAW-18,灾难逃生与自救,48,2.5,刘中民
LAW-19,工业药剂学,16,1.0,周建平
LAW-20,数学实验,48,2.5,张智丰
